CSAFP,CBSAFP,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,id,tile_name,h_min,h_max,v_min,v_max,msa_area (m2)
,43620,310M200US43620,43620,"Sioux Falls, SD",M1,6671079051,27077952,1,h016v006;h016v007,16,16,6,7,6698106900.0
,12260,310M200US12260,12260,"Augusta-Richmond County, GA-SC",M1,9015004609,262744093,2,h025v013;h025v014;h026v013;h026v014,25,26,13,14,9277321500.0
450,20500,310M200US20500,20500,"Durham-Chapel Hill, NC",M1,4553919062,142312593,3,h026v011;h026v012;h027v011;h027v012,26,27,11,12,4696131600.0
184,17460,310M200US17460,17460,"Cleveland-Elyria, OH",M1,5174470870,5132075101,4,h024v007;h024v008;h025v007;h025v008,24,25,7,8,5224005000.0
384,33740,310M200US33740,33740,"Monroe, LA",M1,3852321100,128888970,5,h019v014;h019v015,19,19,14,15,3980347200.0
,22900,310M200US22900,22900,"Fort Smith, AR-OK",M1,8768726732,226572927,6,h017v012;h017v013;h018v012;h018v013,17,18,12,13,8994318300.0
122,12060,310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA",M1,22485809510,398427699,7,h023v013;h023v014;h024v013;h024v014,23,24,13,14,22884842700.0
,40180,310M200US40180,40180,"Riverton, WY",M2,23786090581,212125873,8,h009v005;h009v006;h009v007;h010v006;h010v007,9,10,5,7,24000083100.0
,45020,310M200US45020,45020,"Sweetwater, TX",M2,2362061740,5052158,9,h014v015,14,14,15,15,2366117100.0
,28900,310M200US28900,28900,"Klamath Falls, OR",M2,15387212504,503754829,10,h002v005;h002v006;h003v004;h003v005;h003v006,2,3,4,6,15893379000.0
,40060,310M200US40060,40060,"Richmond, VA",M1,11852491242,327650578,11,h027v009;h027v010;h028v009;h028v010,27,28,9,10,12170458800.0
246,31300,310M200US31300,31300,"Lumberton, NC",M2,2457924449,5110085,12,h027v012,27,27,12,12,2463091200.0
,45500,310M200US45500,45500,"Texarkana, TX-AR",M1,5290957332,213758225,13,h017v014;h018v014,17,18,14,14,5504868000.0
,47080,310M200US47080,47080,"Vidalia, GA",M2,1563141263,31476869,15,h025v014,25,25,14,14,1594946700.0
120,11700,310M200US11700,11700,"Asheville, NC",M1,5265357913,21779731,16,h024v011;h024v012;h025v011;h025v012,24,25,11,12,5286884400.0
264,23540,310M200US23540,23540,"Gainesville, FL",M1,3172084250,257185419,17,h025v016;h026v016,25,26,16,16,3429178200.0
216,19740,310M200US19740,19740,"Denver-Aurora-Lakewood, CO",M1,21615642000,147293259,18,h011v009;h011v010;h012v009;h012v010,11,12,9,10,21762733500.0
,18060,310M200US18060,18060,"Columbus, MS",M2,1309077217,28560500,19,h021v013;h021v014,21,21,13,14,1337425200.0
524,20180,310M200US20180,20180,"DuBois, PA",M2,2964817439,23932649,21,h026v007;h026v008;h027v007,26,27,7,8,2988943200.0
468,40260,310M200US40260,40260,"Roanoke Rapids, NC",M2,3265132246,54672521,22,h027v011;h028v010;h028v011,27,28,10,11,3320004600.0
274,47820,310M200US47820,47820,"Washington, NC",M2,2143053946,338699480,23,h028v011,28,28,11,11,2217854700.0
440,18700,310M200US18700,18700,"Corvallis, OR",M1,1750843967,6738492,24,h002v003;h002v004;h003v004,2,3,3,4,1757679300.0
148,49340,310M200US49340,49340,"Worcester, MA-CT",M1,5240884091,199162317,25,h029v005;h029v006;h030v005;h030v006,29,30,5,6,5440078800.0
370,36380,310M200US36380,36380,"Okeechobee, FL",M2,1991730024,318560291,26,h026v017;h026v018;h027v017;h027v018,26,27,17,18,2308645800.0
545,21020,310M200US21020,21020,"Elizabeth City, NC",M2,1850914333,554192255,27,h028v010;h028v011,28,28,10,11,1890813600.0
216,14500,310M200US14500,14500,"Boulder, CO",M1,1881212055,36592000,28,h011v009;h012v009,11,12,9,9,1917982800.0
,25200,310M200US25200,25200,"Hailey, ID",M2,12731890155,67489880,29,h006v005;h006v006;h007v005;h007v006,6,7,5,6,12801029400.0
147,34300,310M200US34300,34300,"Mountain Home, ID",M2,7963532452,67386793,30,h006v005;h006v006;h007v005,6,7,5,6,8030025900.0
278,35980,310M200US35980,35980,"Norwich-New London, CT",M1,1722641876,276619712,31,h029v006;h030v006,29,30,6,6,1807564500.0
204,18580,310M200US18580,18580,"Corpus Christi, TX",M1,4620109987,1599382636,32,h015v018;h016v018,15,16,18,18,4842414900.0
488,34900,310M200US34900,34900,"Napa, CA",M1,1938262912,104154062,33,h001v008;h002v008,1,2,8,8,2042405100.0
,46540,310M200US46540,46540,"Utica-Rome, NY",M1,6795981620,237487618,34,h027v005;h027v006;h028v005;h028v006,27,28,5,6,7033662000.0
,43500,310M200US43500,43500,"Silver City, NM",M2,10260552064,15353565,35,h009v014;h009v015,9,9,14,15,10276331400.0
428,36140,310M200US36140,36140,"Ocean City, NJ",M1,651209688,955666476,37,h029v008,29,29,8,8,740508300.0
,27180,310M200US27180,27180,"Jackson, TN",M1,2870688476,5035253,38,h021v012,21,21,12,12,2875566600.0
,47240,310M200US47240,47240,"Vineyard Haven, MA",M2,267455894,1004127633,39,h030v006;h031v006,30,31,6,6,306658800.0
304,27740,310M200US27740,27740,"Johnson City, TN",M1,2211413861,26142889,40,h024v011;h025v011,24,25,11,11,2237234400.0
,38740,310M200US38740,38740,"Poplar Bluff, MO",M2,1799185154,11194998,41,h020v011;h020v012,20,20,11,12,1810814400.0
,45980,310M200US45980,45980,"Troy, AL",M2,1740741211,2336975,42,h023v015,23,23,15,15,1743131700.0
,43760,310M200US43760,43760,"Sonora, CA",M2,5752116004,138684372,43,h002v009;h003v008;h003v009,2,3,8,9,5890724100.0
,34420,310M200US34420,34420,"Mount Pleasant, TX",M2,1051677550,50735385,44,h017v014,17,17,14,14,1102396500.0
,17220,310M200US17220,17220,"Clarksburg, WV",M2,2353000500,10811595,45,h025v009;h026v009,25,26,9,9,2363976000.0
277,25500,310M200US25500,25500,"Harrisonburg, VA",M1,2244174568,11270557,46,h026v009;h027v009,26,27,9,9,2255736600.0
404,35100,310M200US35100,35100,"New Bern, NC",M1,3927063228,771504643,47,h028v011;h028v012,28,28,11,12,4068751500.0
,19260,310M200US19260,19260,"Danville, VA",M2,2620813835,26395443,48,h026v010;h026v011,26,26,10,11,2647632600.0
206,11980,310M200US11980,11980,"Athens, TX",M2,2262941927,193237889,49,h016v015;h017v015,16,17,15,15,2456388900.0
,29500,310M200US29500,29500,"Lamesa, TX",M2,2331781557,4720730,50,h013v014,13,13,14,14,2336584500.0
300,41220,310M200US41220,41220,"St. Marys, GA",M2,1588171684,436849667,51,h025v015;h026v015,25,26,15,15,1776231000.0
,14140,310M200US14140,14140,"Bluefield, WV-VA",M2,2428934069,7345999,52,h025v010;h025v011,25,25,10,11,2435949900.0
408,20700,310M200US20700,20700,"East Stroudsburg, PA",M1,1575560089,23131029,53,h028v007,28,28,7,7,1598394600.0
,11060,310M200US11060,11060,"Altus, OK",M2,2078855933,4114419,54,h014v013;h015v013,14,15,13,13,2083002300.0
,13700,310M200US13700,13700,"Big Spring, TX",M2,4664591798,11087079,55,h013v014;h013v015,13,13,14,15,4675528800.0
238,21340,310M200US21340,21340,"El Paso, TX",M1,14461646726,7634538,56,h010v015;h011v015;h011v016,10,11,15,16,14470353900.0
,37540,310M200US37540,37540,"Paris, TN",M2,1455159581,81742881,57,h021v011;h021v012,21,21,11,12,1536523200.0
424,37140,310M200US37140,37140,"Paducah, KY-IL",M2,2708468361,207877231,58,h021v011,21,21,11,11,2915328600.0
240,21500,310M200US21500,21500,"Erie, PA",M1,2069952474,1965847842,60,h025v007;h026v007,25,26,7,7,2097121500.0
378,41060,310M200US41060,41060,"St. Cloud, MN",M1,4535657122,134115189,61,h017v005;h018v005,17,18,5,5,4670073900.0
,19000,310M200US19000,19000,"Cullowhee, NC",M2,1271085173,9779083,62,h024v012,24,24,12,12,1280882700.0
,31580,310M200US31580,31580,"Madisonville, KY",M2,1403763235,32165560,63,h021v011;h022v011,21,22,11,11,1435828500.0
260,23420,310M200US23420,23420,"Fresno, CA",M1,15433278958,135402551,64,h002v009;h002v010;h003v009;h003v010;h004v010,2,4,9,10,15568335900.0
314,35460,310M200US35460,35460,"Newport, TN",M2,1125573126,22116606,65,h024v011;h024v012,24,24,11,12,1147560300.0
,28860,310M200US28860,28860,"Kirksville, MO",M2,2265278394,7684583,66,h018v009;h019v009,18,19,9,9,2272789800.0
184,41780,310M200US41780,41780,"Sandusky, OH",M2,651628988,969639896,67,h024v007;h024v008,24,24,7,8,670167000.0
172,10620,310M200US10620,10620,"Albemarle, NC",M2,1023264907,25262143,68,h026v012,26,26,12,12,1048528800.0
,20260,310M200US20260,20260,"Duluth, MN-WI",M1,21789775318,2075554135,69,h018v003;h018v004;h019v003;h019v004,18,19,3,4,23206176000.0
,45520,310M200US45520,45520,"The Dalles, OR",M2,6168179681,35948263,70,h003v003;h003v004;h004v003;h004v004,3,4,3,4,6203607300.0
174,17420,310M200US17420,17420,"Cleveland, TN",M1,1977283659,26793316,71,h023v012;h024v012,23,24,12,12,2004392700.0
472,46020,310M200US46020,46020,"Truckee-Grass Valley, CA",M2,2480638607,41513172,72,h002v008;h003v008,2,3,8,8,2522921400.0
,35060,310M200US35060,35060,"Natchitoches, LA",M2,3243341073,121033892,73,h018v015;h019v015,18,19,15,15,3364141500.0
,43660,310M200US43660,43660,"Snyder, TX",M2,2345090493,5436958,74,h013v014;h013v015;h014v014;h014v015,13,14,14,15,2350330200.0
288,13060,310M200US13060,13060,"Bay City, TX",M2,2830586533,1345793612,75,h016v017;h016v018;h017v017;h017v018,16,17,17,18,3581037000.0
290,19460,310M200US19460,19460,"Decatur, AL",M1,3289381161,119693420,76,h022v013,22,22,13,13,3408480900.0
546,47300,310M200US47300,47300,"Visalia-Porterville, CA",M1,12494776875,37391591,77,h003v010;h003v011;h004v010;h004v011,3,4,10,11,12532631400.0
220,33780,310M200US33780,33780,"Monroe, MI",M1,1422996308,338244021,78,h023v007;h024v007,23,24,7,7,1462041900.0
,46860,310M200US46860,46860,"Vernal, UT",M2,11609285613,56154091,79,h009v008;h009v009,9,9,8,9,11665446300.0
362,32280,310M200US32280,32280,"Martin, TN",M2,1503105587,3709396,80,h021v011;h021v012,21,21,11,12,1506485700.0
382,33700,310M200US33700,33700,"Modesto, CA",M1,3870867629,51101821,81,h002v009;h003v009,2,3,9,9,3921909300.0
400,30280,310M200US30280,30280,"Lewisburg, TN",M2,972442313,1801922,82,h022v012,22,22,12,12,974350800.0
548,16540,310M200US16540,16540,"Chambersburg-Waynesboro, PA",M1,2000052119,1544300,83,h027v008,27,27,8,8,2001753000.0
,19620,310M200US19620,19620,"Del Rio, TX",M2,8144863832,227711349,84,h013v016;h013v017;h014v016;h014v017,13,14,16,17,8373016800.0
540,46340,310M200US46340,46340,"Tyler, TX",M1,2386700344,73067567,85,h017v014;h017v015,17,17,14,15,2459658600.0
393,34180,310M200US34180,34180,"Moses Lake, WA",M2,6939890129,289550821,86,h004v002;h004v003;h005v002;h005v003,4,5,2,3,7229693700.0
,39220,310M200US39220,39220,"Price, UT",M2,3830974536,15891973,87,h008v008;h008v009;h009v009,8,9,8,9,3845495700.0
359,35580,310M200US35580,35580,"New Ulm, MN",M2,1582681677,18634366,88,h017v006,17,17,6,6,1601411400.0
,38420,310M200US38420,38420,"Platteville, WI",M2,2970368436,94555361,89,h019v007;h020v007,19,20,7,7,3064938300.0
482,25720,310M200US25720,25720,"Heber, UT",M2,3048429878,79148299,90,h008v008,8,8,8,8,3127977900.0
428,20100,310M200US20100,20100,"Dover, DE",M1,1518565081,549102079,91,h028v008;h028v009,28,28,8,9,1548706500.0
500,14740,310M200US14740,14740,"Bremerton-Silverdale, WA",M1,1022895431,442827362,92,h003v001;h003v002,3,3,1,2,1124384400.0
,24300,310M200US24300,24300,"Grand Junction, CO",M1,8621965147,31428362,93,h009v009;h009v010;h010v009;h010v010,9,10,9,10,8653671900.0
,28380,310M200US28380,28380,"Kennett, MO",M2,1401369250,15831141,94,h020v011;h020v012,20,20,11,12,1417384800.0
,29700,310M200US29700,29700,"Laredo, TX",M1,8706200257,36536159,95,h014v018;h015v018,14,15,18,18,8746615800.0
,47180,310M200US47180,47180,"Vincennes, IN",M2,1336514522,20754774,96,h021v010;h022v010,21,22,10,10,1357593300.0
,48780,310M200US48780,48780,"Williston, ND",M2,5381129899,182522303,97,h013v002;h013v003,13,13,2,3,5562972900.0
,43340,310M200US43340,43340,"Shreveport-Bossier City, LA",M1,8257355725,324450049,98,h018v014;h018v015,18,18,14,15,8580722400.0
452,39660,310M200US39660,39660,"Rapid City, SD",M1,20213700213,56143347,99,h012v006;h013v005;h013v006,12,13,5,6,20270241900.0
,22580,310M200US22580,22580,"Forest City, NC",M2,1460866914,4676879,100,h025v012,25,25,12,12,1465686900.0
160,15380,310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",M1,4053461568,2075804933,101,h026v006,26,26,6,6,4108329000.0
496,44340,310M200US44340,44340,"Statesboro, GA",M2,1743037409,40494139,102,h025v014;h026v014,25,26,14,14,1783485000.0
357,31540,310M200US31540,31540,"Madison, WI",M1,8571132545,200856004,103,h020v006;h020v007,20,20,6,7,8771905800.0
192,36700,310M200US36700,36700,"Orangeburg, SC",M2,2864676300,56530748,104,h026v013,26,26,13,13,2921564700.0
,30940,310M200US30940,30940,"London, KY",M2,3258431131,47847303,105,h023v011;h024v011,23,24,11,11,3306147300.0
408,10900,310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ",M1,3763879943,58581593,106,h028v007,28,28,7,7,3822129900.0
306,43740,310M200US43740,43740,"Somerset, PA",M2,2782597179,17002814,107,h026v008,26,26,8,8,2799795600.0
,37460,310M200US37460,37460,"Panama City, FL",M1,3398182520,1205718482,108,h023v016;h024v016,23,24,16,16,3762413100.0
482,44920,310M200US44920,44920,"Summit Park, UT",M2,4844755736,26612845,109,h008v007;h008v008;h009v008,8,9,7,8,4873329000.0
,18860,310M200US18860,18860,"Crescent City, CA",M2,2606282680,578761025,110,h001v005;h001v006;h002v005;h002v006,1,2,5,6,2629297800.0
