id,STUSPS,NAME,tile_name,h_min,h_max,v_min,v_max,state_area (m2)
1,WV,West Virginia,h024v009;h024v010;h025v008;h025v009;h025v010;h026v008;h026v009;h026v010;h027v008;h027v009,24,27,8,10,62755457400.0
2,FL,Florida,h022v015;h022v016;h023v015;h023v016;h024v015;h024v016;h025v015;h025v016;h025v017;h025v018;h026v015;h026v016;h026v017;h026v018;h026v019;h026v020;h027v017;h027v018;h027v019;h027v020,22,27,15,20,184560750900.0
3,IL,Illinois,h019v008;h019v009;h020v007;h020v008;h020v009;h020v010;h020v011;h021v007;h021v008;h021v009;h021v010;h021v011,19,21,7,11,149995033200.0
4,MN,Minnesota,h016v002;h016v003;h016v004;h016v005;h016v006;h017v002;h017v003;h017v004;h017v005;h017v006;h018v003;h018v004;h018v005;h018v006;h019v003;h019v004;h019v006;h020v003;h020v004,16,20,2,6,225182107800.0
5,MD,Maryland,h026v008;h026v009;h027v008;h027v009;h028v008;h028v009;h029v009,26,29,8,9,32131133100.0
6,RI,Rhode Island,h030v006,30,30,6,6,4001442300.0
7,ID,Idaho,h005v004;h005v005;h005v006;h006v001;h006v002;h006v003;h006v004;h006v005;h006v006;h006v007;h007v001;h007v002;h007v003;h007v004;h007v005;h007v006;h007v007;h008v004;h008v005;h008v006;h008v007;h009v005;h009v006,5,9,1,7,216441474300.0
8,NH,New Hampshire,h029v003;h029v004;h029v005;h030v003;h030v004;h030v005,29,30,3,5,24216098400.0
9,NC,North Carolina,h024v011;h024v012;h025v011;h025v012;h026v011;h026v012;h027v011;h027v012;h027v013;h028v010;h028v011;h028v012;h028v013;h029v011;h029v012,24,29,10,13,139362745500.0
10,VT,Vermont,h028v004;h028v005;h029v004;h029v005;h029v006,28,29,4,6,24903257400.0
11,CT,Connecticut,h029v006;h029v007;h030v006;h030v007,29,30,6,7,14358106800.0
12,DE,Delaware,h028v008;h028v009;h029v009,28,29,8,9,6445897200.0
13,NM,New Mexico,h008v014;h008v015;h009v011;h009v012;h009v013;h009v014;h009v015;h010v011;h010v012;h010v013;h010v014;h010v015;h011v011;h011v012;h011v013;h011v014;h011v015;h012v011;h012v012;h012v013;h012v014;h012v015,8,12,11,15,314925067800.0
14,CA,California,h001v005;h001v006;h001v007;h001v008;h001v009;h001v010;h002v005;h002v006;h002v007;h002v008;h002v009;h002v010;h002v011;h002v012;h003v006;h003v007;h003v008;h003v009;h003v010;h003v011;h003v012;h003v013;h004v006;h004v009;h004v010;h004v011;h004v012;h004v013;h005v010;h005v011;h005v012;h005v013;h006v012,1,6,5,13,423965084400.0
15,NJ,New Jersey,h028v007;h028v008;h028v009;h029v007;h029v008;h029v009,28,29,7,9,22581952200.0
16,WI,Wisconsin,h018v004;h018v005;h018v006;h019v004;h019v005;h019v006;h019v007;h020v004;h020v005;h020v006;h020v007;h021v004;h021v005;h021v006;h021v007;h022v005,18,22,4,7,169635770100.0
17,OR,Oregon,h001v004;h001v005;h002v002;h002v003;h002v004;h002v005;h002v006;h003v002;h003v003;h003v004;h003v005;h003v006;h004v003;h004v004;h004v005;h004v006;h005v003;h005v004;h005v005;h005v006;h006v003;h006v004;h006v005,1,6,2,6,254799492300.0
18,NE,Nebraska,h012v007;h012v008;h013v007;h013v008;h013v009;h014v007;h014v008;h014v009;h015v007;h015v008;h015v009;h016v007;h016v008;h016v009;h017v008;h017v009,12,17,7,9,200329010100.0
19,PA,Pennsylvania,h025v006;h025v007;h025v008;h025v009;h026v007;h026v008;h027v006;h027v007;h027v008;h028v006;h028v007;h028v008,25,28,6,9,119279712600.0
20,WA,Washington,h002v001;h002v002;h003v000;h003v001;h003v002;h003v003;h004v000;h004v001;h004v002;h004v003;h005v001;h005v002;h005v003;h006v001;h006v002;h006v003,2,6,0,3,184667691600.0
21,LA,Louisiana,h018v014;h018v015;h018v016;h018v017;h019v014;h019v015;h019v016;h019v017;h020v014;h020v015;h020v016;h020v017;h021v016;h021v017,18,21,14,17,135651665700.0
22,GA,Georgia,h023v012;h023v013;h023v014;h023v015;h024v012;h024v013;h024v014;h024v015;h024v016;h025v013;h025v014;h025v015;h025v016;h026v014;h026v015;h026v016,23,26,12,16,153905006700.0
23,AL,Alabama,h021v013;h021v014;h021v015;h021v016;h022v012;h022v013;h022v014;h022v015;h022v016;h023v012;h023v013;h023v014;h023v015;h024v014;h024v015,21,24,12,16,135767365200.0
24,UT,Utah,h006v008;h006v009;h006v010;h007v007;h007v008;h007v009;h007v010;h007v011;h008v007;h008v008;h008v009;h008v010;h008v011;h009v008;h009v009;h009v010;h009v011,6,9,7,11,219885074100.0
25,OH,Ohio,h023v007;h023v008;h023v009;h023v010;h024v007;h024v008;h024v009;h024v010;h025v007;h025v008;h025v009,23,25,7,10,116098428600.0
26,TX,Texas,h010v015;h011v015;h011v016;h011v017;h012v011;h012v012;h012v013;h012v014;h012v015;h012v016;h012v017;h013v011;h013v012;h013v013;h013v014;h013v015;h013v016;h013v017;h014v012;h014v013;h014v014;h014v015;h014v016;h014v017;h014v018;h014v019;h015v013;h015v014;h015v015;h015v016;h015v017;h015v018;h015v019;h016v013;h016v014;h016v015;h016v016;h016v017;h016v018;h016v019;h016v020;h017v014;h017v015;h017v016;h017v017;h017v018;h018v014;h018v015;h018v016;h018v017,10,18,11,20,695668320900.0
27,CO,Colorado,h009v008;h009v009;h009v010;h009v011;h010v008;h010v009;h010v010;h010v011;h011v008;h011v009;h011v010;h011v011;h012v008;h012v009;h012v010;h012v011;h013v008;h013v009;h013v010;h013v011,9,13,8,11,269604526500.0
28,SC,South Carolina,h024v012;h024v013;h025v012;h025v013;h025v014;h026v012;h026v013;h026v014;h027v012;h027v013;h027v014,24,27,12,14,82940543100.0
29,OK,Oklahoma,h012v011;h013v011;h013v012;h014v011;h014v012;h014v013;h015v011;h015v012;h015v013;h015v014;h016v011;h016v012;h016v013;h016v014;h017v011;h017v012;h017v013;h017v014;h018v012;h018v013;h018v014,12,18,11,14,181038111300.0
30,TN,Tennessee,h020v011;h020v012;h020v013;h021v011;h021v012;h021v013;h022v011;h022v012;h022v013;h023v011;h023v012;h024v011;h024v012;h025v011,20,25,11,13,109114642800.0
31,WY,Wyoming,h008v006;h008v007;h008v008;h009v005;h009v006;h009v007;h009v008;h010v005;h010v006;h010v007;h010v008;h011v005;h011v006;h011v007;h011v008;h012v005;h012v006;h012v007;h012v008,8,12,5,8,253326285000.0
33,ND,North Dakota,h012v004;h013v002;h013v003;h013v004;h014v002;h014v003;h014v004;h014v005;h015v002;h015v003;h015v004;h015v005;h016v002;h016v003;h016v004;h016v005,12,16,2,5,183109166100.0
34,KY,Kentucky,h020v011;h020v012;h021v010;h021v011;h022v010;h022v011;h023v009;h023v010;h023v011;h024v009;h024v010;h024v011;h025v010;h025v011,20,25,9,12,104650776000.0
38,ME,Maine,h029v003;h030v002;h030v003;h030v004;h030v005;h031v002;h031v003;h031v004;h032v003,29,32,2,5,91633572900.0
39,NY,New York,h025v006;h025v007;h026v005;h026v006;h026v007;h027v004;h027v005;h027v006;h027v007;h028v004;h028v005;h028v006;h028v007;h029v004;h029v005;h029v006;h029v007;h030v006;h030v007,25,30,4,7,141305824800.0
40,NV,Nevada,h003v006;h003v007;h003v008;h003v009;h004v006;h004v007;h004v008;h004v009;h004v010;h005v006;h005v007;h005v008;h005v009;h005v010;h005v011;h005v012;h006v006;h006v007;h006v008;h006v009;h006v010;h006v011;h007v007;h007v008,3,7,6,12,286376942700.0
