year_1,year_2,count_stable_natural,count_stable_is,count_is_expansion,count_is_intensification,count_is_decline,count_is_reversal,count_surface_modification,total_area
1985,1986,8554296072.0,434846088.0,3681901.0,334518.0,64367.0,658794.0,2776730.0,8996658470.0
1986,1987,8549910147.0,436164614.0,5034969.0,497220.0,91602.0,1051363.0,3908555.0,8996658470.0
1987,1988,8544915143.0,438236160.0,6017477.0,651631.0,106275.0,1424059.0,5307725.0,8996658470.0
1988,1989,8541890385.0,444008045.0,4459043.0,529109.0,159594.0,1314358.0,4297936.0,8996658470.0
1989,1990,8539838598.0,448371073.0,3384066.0,489661.0,138231.0,940473.0,3496368.0,8996658470.0
1990,1991,8537639105.0,450885736.0,3131758.0,408674.0,115595.0,985976.0,3491626.0,8996658470.0
1991,1992,8535507849.0,453225418.0,3116344.0,394367.0,91190.0,855975.0,3467327.0,8996658470.0
1992,1993,8533756844.0,455949759.0,2620707.0,366321.0,95398.0,766407.0,3103034.0,8996658470.0
1993,1994,8531893367.0,457731210.0,2630195.0,393735.0,93442.0,807855.0,3108666.0,8996658470.0
1994,1995,8529890962.0,459063074.0,2802905.0,430868.0,104778.0,890934.0,3474949.0,8996658470.0
1995,1996,8527450624.0,460473801.0,3313297.0,477703.0,84550.0,971597.0,3886898.0,8996658470.0
1996,1997,8525404497.0,463950183.0,3044629.0,484467.0,89886.0,615444.0,3069364.0,8996658470.0
1997,1998,8522450506.0,465773642.0,3563934.0,575084.0,103433.0,670650.0,3521221.0,8996658470.0
1998,1999,8519287388.0,468496908.0,3835857.0,617679.0,114834.0,721011.0,3584793.0,8996658470.0
1999,2000,8516569123.0,472041600.0,3440007.0,586229.0,133367.0,638775.0,3249369.0,8996658470.0
2000,2001,8514020997.0,475180256.0,3192521.0,563075.0,128176.0,603603.0,2969842.0,8996658470.0
2001,2002,8511639428.0,477790914.0,2974415.0,528845.0,126874.0,609285.0,2988709.0,8996658470.0
2002,2003,8509311475.0,480471876.0,2950275.0,564533.0,126203.0,537386.0,2696722.0,8996658470.0
2003,2004,8506734256.0,482849395.0,3115393.0,627573.0,129051.0,510108.0,2692694.0,8996658470.0
2004,2005,8503626551.0,484654511.0,3604106.0,735683.0,147229.0,694209.0,3196181.0,8996658470.0
2005,2006,8500213192.0,486633212.0,4109107.0,858809.0,193791.0,753556.0,3896803.0,8996658470.0
2006,2007,8497685902.0,490877120.0,3290106.0,691801.0,178044.0,683000.0,3252497.0,8996658470.0
2007,2008,8495699716.0,494092542.0,2672708.0,613351.0,164355.0,561188.0,2854610.0,8996658470.0
2008,2009,8494474293.0,496743601.0,1780508.0,439266.0,140240.0,570229.0,2510333.0,8996658470.0
2009,2010,8493561777.0,498278494.0,1489854.0,387592.0,142611.0,505528.0,2292614.0,8996658470.0
2010,2011,8492171357.0,498018442.0,1861133.0,428411.0,143524.0,827972.0,3207631.0,8996658470.0
2011,2012,8491253999.0,498963232.0,1751700.0,419184.0,155000.0,859373.0,3255982.0,8996658470.0
2012,2013,8490620527.0,500441833.0,1497086.0,378279.0,178589.0,745015.0,2797141.0,8996658470.0
2013,2014,8489827628.0,501367595.0,1554986.0,408366.0,186503.0,676585.0,2636807.0,8996658470.0
2014,2015,8488816470.0,502059686.0,1677401.0,447889.0,185738.0,768493.0,2702793.0,8996658470.0
2015,2016,8487957925.0,503305122.0,1641524.0,501057.0,178716.0,568965.0,2505161.0,8996658470.0
2016,2017,8486762634.0,504347476.0,1766056.0,554874.0,169179.0,558995.0,2499256.0,8996658470.0
2017,2018,8485514241.0,505638727.0,1801037.0,570363.0,183762.0,532760.0,2417580.0,8996658470.0
2018,2019,8484165863.0,506062774.0,1888360.0,689253.0,240071.0,722150.0,2889999.0,8996658470.0
2019,2020,8482950678.0,507218252.0,1928502.0,658625.0,254274.0,742488.0,2905651.0,8996658470.0
2020,2021,8482166881.0,507869926.0,1527743.0,585889.0,286308.0,1201061.0,3020662.0,8996658470.0
2021,2022,8482266387.0,508655387.0,1103426.0,478811.0,364740.0,1215791.0,2573928.0,8996658470.0
