year_1,year_2,total_area,is_area_year_1,is_area_year_2,count_stable_natural,count_stable_is,count_is_expansion,count_is_intensification,count_is_decline,count_is_reversal,area_stable_natural,area_stable_is,area_is_expansion,area_is_intensification,area_is_decline,area_is_reversal,total_is_area_change
1985,1986,8096992623000.0,96923310201.0,97636647600.0,8554313349.0,437605541.0,3681901.0,334518.0,64367.0,658794.0,7698882014100.0,96806868408.0,673218864.0,93065922.0,7779735.0,45167652.0,713337399.0
1986,1987,8096992623000.0,97636647600.0,98683260840.0,8549937174.0,440046142.0,5034969.0,497220.0,91602.0,1051363.0,7694943456600.0,97458375978.0,991908180.0,143059221.0,10392822.0,77961339.0,1046613240.0
1987,1988,8096992623000.0,98683260840.0,99877815738.0,8544971060.0,443487968.0,6017477.0,651631.0,106275.0,1424059.0,7690473954000.0,98485894161.0,1098734049.0,186988563.0,10836828.0,80330886.0,1194554898.0
1988,1989,8096992623000.0,99877815738.0,100830125025.0,8541936076.0,448260290.0,4459043.0,529109.0,159594.0,1314358.0,7687742468400.0,99666063828.0,909340533.0,151325073.0,18790920.0,89565399.0,952309287.0
1989,1990,8096992623000.0,100830125025.0,101641294251.0,8539866368.0,451839671.0,3384066.0,489661.0,138231.0,940473.0,7685879731200.0,100651558635.0,752890329.0,143324145.0,16532019.0,68513229.0,811169226.0
1990,1991,8096992623000.0,101641294251.0,102331343718.0,8537675083.0,454341384.0,3131758.0,408674.0,115595.0,985976.0,7683907574700.0,101481022557.0,656106912.0,116355951.0,13302657.0,69110739.0,690049467.0
1991,1992,8096992623000.0,102331343718.0,103022789625.0,8535544715.0,456655879.0,3116344.0,394367.0,91190.0,855975.0,7681990243500.0,102192862131.0,646123122.0,113660163.0,10119555.0,58217823.0,691445907.0
1992,1993,8096992623000.0,103022789625.0,103655375298.0,8533779983.0,459029654.0,2620707.0,366321.0,95398.0,766407.0,7680401984700.0,102884287995.0,593371872.0,107766243.0,11051046.0,57501396.0,632585673.0
1993,1994,8096992623000.0,103655375298.0,104364527103.0,8531916195.0,460817048.0,2630195.0,393735.0,93442.0,807855.0,7678724575500.0,103510367073.0,654360543.0,124685055.0,11640447.0,58253346.0,709151805.0
1994,1995,8096992623000.0,104364527103.0,105137984826.0,8529921145.0,462507840.0,2802905.0,430868.0,104778.0,890934.0,7676929030500.0,104204850939.0,713016684.0,137693097.0,12241890.0,65010168.0,773457723.0
